,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,0.65,0.0,0.0
0.50,0.12,0.04,0.49,0.13,0.21
0.55,0.36,0.18,0.56,0.4,0.46
0.60,0.51,0.35,0.56,0.59,0.58
0.65,0.44,0.39,0.54,0.73,0.62
0.70,0.34,0.25,0.51,0.85,0.64
0.75,0.22,0.12,0.48,0.93,0.63
0.80,0.13,0.05,0.45,0.97,0.61
max
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.35,-0.0,0.0,1.0,-0.0,-0.0
0.40,-0.0,0.0,1.0,-0.0,-0.0
0.45,-0.0,0.0,1.0,0.01,0.01
0.50,0.18,0.07,0.62,0.19,0.28
0.55,0.46,0.3,0.62,0.49,0.55
0.60,0.55,0.47,0.62,0.63,0.61
0.65,0.49,0.51,0.58,0.76,0.66
0.70,0.38,0.38,0.54,0.88,0.67
0.75,0.26,0.19,0.5,0.95,0.65
0.80,0.15,0.08,0.47,0.98,0.63
min
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.35,-0.0,0.0,1.0,-0.0,-0.0
0.40,-0.0,0.0,1.0,-0.0,-0.0
0.45,-0.0,0.0,0.08,-0.0,-0.0
0.50,0.04,0.01,0.4,0.05,0.08
0.55,0.3,0.11,0.51,0.33,0.41
0.60,0.47,0.26,0.52,0.55,0.55
0.65,0.4,0.28,0.5,0.71,0.59
0.70,0.31,0.19,0.47,0.84,0.61
0.75,0.19,0.06,0.44,0.92,0.59
0.80,0.11,0.03,0.42,0.97,0.59
std
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.4,0.0,0.0
0.50,0.03,0.02,0.05,0.04,0.05
0.55,0.04,0.05,0.03,0.04,0.03
0.60,0.02,0.05,0.02,0.02,0.02
0.65,0.03,0.06,0.02,0.01,0.02
0.70,0.02,0.05,0.02,0.01,0.02
0.75,0.02,0.03,0.01,0.01,0.01
0.80,0.01,0.01,0.01,0.0,0.01
test finished in 84690.01 seconds
